Wed May 31 19:53:18 2023    output.dat

         266629246 function calls (221719246 primitive calls) in 217.503 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.383    0.000   72.070    0.048 /mnt/DATA2/y4d/YAD/commentController.py:8(commentMaker)
   520500    0.327    0.000    0.327    0.000 {method 'split' of 'str' objects}
     4500    0.295    0.000  171.054    0.038 /mnt/DATA2/y4d/YAD/codeParser.py:309(positions)
     4500    0.279    0.000    0.279    0.000 {built-in method posix.stat}
   489000    0.264    0.000    0.394    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:262(column)
     3500    0.259    0.000    0.314    0.000 /mnt/DATA2/y4d/YAD/codeParser.py:130(findLocationClass)
   517500    0.250    0.000    0.880    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1413(__ne__)
     4500    0.234    0.000   45.003    0.010 /usr/lib/python3.6/json/__init__.py:183(dumps)
   978000    0.218    0.000    0.218    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1713(translation_unit)
     4500    0.194    0.000    0.205    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2570(create)
      500    0.192    0.000   24.199    0.048 /mnt/DATA2/y4d/YAD/commentController.py:158(CommentOutFunction)
  1035000    0.184    0.000    0.184    0.000 {method 'append' of 'list' objects}
   505000    0.169    0.000    0.169    0.000 {built-in method builtins.iter}
   151371    0.133    0.000    0.948    0.000 /usr/lib/python3.6/codecs.py:318(decode)
   492000    0.125    0.000    0.125    0.000 {method 'lower' of 'str' objects}
    13500    0.075    0.000    0.075    0.000 {method 'encode' of 'str' objects}
   493500    0.072    0.000    0.072    0.000 {method 'items' of 'dict' objects}
   511500    0.065    0.000    0.065    0.000 {built-in method builtins.id}
    16000    0.047    0.000    0.379    0.000 /mnt/DATA2/y4d/YAD/codeParser.py:209(hasInitializerList)
    28500    0.038    0.000    0.048    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:662(is_expression)
     4500    0.038    0.000    0.056    0.000 /usr/lib/python3.6/pathlib.py:51(parse_parts)
     4500    0.031    0.000    0.077    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2751(cursor)
    12000    0.031    0.000    0.031    0.000 {built-in method _locale.nl_langinfo}
   177500    0.030    0.000    0.030    0.000 {method 'startswith' of 'str' objects}
     1000    0.028    0.000    0.038    0.000 /mnt/DATA2/y4d/YAD/codeParser.py:6(findLocationFunction)
     4500    0.025    0.000    0.037    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
     4500    0.024    0.000    0.044    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1828(from_result)
     4500    0.023    0.000    0.088    0.000 /usr/lib/python3.6/pathlib.py:631(_parse_args)
     9000    0.022    0.000    0.022    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    12000    0.021    0.000    0.052    0.000 /usr/lib/python3.6/_bootlocale.py:23(getpreferredencoding)
     9000    0.020    0.000    0.020    0.000 /usr/lib/python3.6/re.py:324(_subx)
     9000    0.020    0.000    0.020    0.000 /usr/lib/python3.6/re.py:286(_compile)
     4500    0.020    0.000    2.739    0.001 /usr/lib/python3.6/json/decoder.py:334(decode)
     4500    0.020    0.000    0.132    0.000 /usr/lib/python3.6/pathlib.py:998(__new__)
     4500    0.018    0.000    0.020    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2579(__del__)
     4500    0.017    0.000    0.025    0.000 /usr/lib/python3.6/pathlib.py:691(__str__)
     4500    0.016    0.000    0.019    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:75(__init__)
     4500    0.016    0.000    0.107    0.000 /usr/lib/python3.6/pathlib.py:651(_from_parts)
     4500    0.016    0.000    0.023    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2738(__init__)
     4500    0.015    0.000    2.759    0.001 /usr/lib/python3.6/json/__init__.py:302(loads)
     4500    0.015    0.000    0.028    0.000 /usr/lib/python3.6/pathlib.py:785(suffix)
     4500    0.014    0.000    0.318    0.000 /usr/lib/python3.6/pathlib.py:385(wrapped)
     9000    0.014    0.000   27.264    0.003 /usr/lib/python3.6/re.py:184(sub)
     4500    0.014    0.000   30.957    0.007 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2586(parse)
     9000    0.014    0.000    0.021    0.000 /usr/lib/python3.6/codecs.py:308(__init__)
     1000    0.012    0.000    0.012    0.000 {built-in method builtins.print}
     4500    0.011    0.000    0.012    0.000 /usr/lib/python3.6/json/encoder.py:259(_make_iterencode)
     9000    0.010    0.000    0.086    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:103(b)
     4500    0.010    0.000    0.030    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:91(from_param)
    28500    0.009    0.000    0.009    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:617(from_param)
     4500    0.009    0.000    0.009    0.000 /usr/lib/python3.6/json/encoder.py:104(__init__)
     9000    0.008    0.000    0.008    0.000 {built-in method sys.intern}
     4500    0.008    0.000    0.334    0.000 /usr/lib/python3.6/pathlib.py:1331(exists)
     4500    0.008    0.000    0.326    0.000 /usr/lib/python3.6/pathlib.py:1153(stat)
    18000    0.007    0.000    0.007    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2333(from_param)
     4500    0.007    0.000    0.009    0.000 /usr/lib/python3.6/pathlib.py:777(name)
     9000    0.007    0.000    0.007    0.000 /usr/lib/python3.6/codecs.py:259(__init__)
     1500    0.006    0.000    0.010    0.000 /usr/lib/python3.6/posixpath.py:75(join)
     4500    0.005    0.000    0.007    0.000 /usr/lib/python3.6/pathlib.py:674(_format_parsed_parts)
     4500    0.005    0.000    0.005    0.000 /usr/lib/python3.6/pathlib.py:1008(_init)
     4500    0.005    0.000    0.005    0.000 /usr/lib/python3.6/pathlib.py:282(splitroot)
     9000    0.004    0.000    0.004    0.000 {method 'end' of '_sre.SRE_Match' objects}
     4500    0.004    0.000    0.004    0.000 {method 'rfind' of 'str' objects}
    10000    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     4500    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x9d12c0}
     6000    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
     3000    0.003    0.000    0.003    0.000 /usr/lib/python3.6/codecs.py:185(__init__)
      500    0.001    0.000    0.010    0.000 /mnt/DATA2/y4d/YAD/restrictor.py:573(checkAPI)
      500    0.001    0.000    0.011    0.000 /mnt/DATA2/y4d/YAD/checkAPI.py:7(main)
     4500    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
     1500    0.001    0.000    0.002    0.000 /usr/lib/python3.6/posixpath.py:41(_get_sep)
     2500    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      500    0.001    0.000    0.004    0.000 /mnt/DATA2/y4d/YAD/restrictor.py:54(restrict)
     1500    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000  217.503  217.503 {built-in method builtins.exec}
        1    0.000    0.000  217.503  217.503 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


